,X,vcode,imageFile,pairID,basname,spcname,cond,resp,resp.raw,pos_tagged,parsed,dep_parsed,tags_only,tokens,head_noun,objName,nameCat,ExprCategory,preNomMod,postNomMod,type_mod,grouped_tags
40,6156,3096867,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the large bird,the large bird,"[('the', 'DT'), ('large', 'JJ'), ('bird', 'NN')]","(ROOT
  (NP (DT the) (JJ large) (NN bird)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'large', 'bird']",bird,bird,ref,syntax,['large'],['--'],['size'],['visual']
41,6678,2651565,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the large bird,the large bird,"[('the', 'DT'), ('large', 'JJ'), ('bird', 'NN')]","(ROOT
  (NP (DT the) (JJ large) (NN bird)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'large', 'bird']",bird,bird,ref,syntax,['large'],['--'],['size'],['visual']
42,711,4235564,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the largest bird,the largest bird,"[('the', 'DT'), ('largest', 'JJS'), ('bird', 'NN')]","(ROOT
  (FRAG
    (NP (DT the) (JJS largest) (NN bird))))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJS', 'NN']","['the', 'largest', 'bird']",bird,bird,ref,syntax,['largest'],['--'],['size'],['visual']
43,1367,3839629,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the large bird with a large beak,the large bird with a large beak,"[('the', 'DT'), ('large', 'JJ'), ('bird', 'NN'), ('with', 'IN'), ('a', 'DT'), ('large', 'JJ'), ('beak', 'NN')]","(ROOT
  (NP
    (NP (DT the) (JJ large) (NN bird))
    (PP (IN with)
      (NP (DT a) (JJ large) (NN beak)))))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2), (case, 7, 4), (det, 7, 5), (amod, 7, 6), (nmod, 3, 7)]","['DT', 'JJ', 'NN', 'IN', 'DT', 'JJ', 'NN']","['the', 'large', 'bird', 'with', 'a', 'large', 'beak']",bird,bird,ref,syntax,['large'],"['with', 'a', 'large', 'beak']","['size', 'size', 'with', 'part_or_object']","['visual', 'part']"
44,6335,1820290,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the tallest bird,the tallest bird,"[('the', 'DT'), ('tallest', 'JJS'), ('bird', 'NN')]","(ROOT
  (FRAG
    (NP (DT the) (JJS tallest) (NN bird))))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJS', 'NN']","['the', 'tallest', 'bird']",bird,bird,ref,syntax,['tallest'],['--'],['size'],['visual']
45,6404,4767969,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the big bird,the big bird,"[('the', 'DT'), ('big', 'JJ'), ('bird', 'NN')]","(ROOT
  (NP (DT the) (JJ big) (NN bird)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'big', 'bird']",bird,bird,ref,syntax,['big'],['--'],['size'],['visual']
46,393,2074749,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the american pelican,the american pelicina,"[('the', 'DT'), ('american', 'JJ'), ('pelican', 'NN')]","(ROOT
  (NP (DT the)
    (ADJP (JJ american))
    (NN pelican)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'american', 'pelican']",pelican,pelican,spec,syntax,['american'],['--'],['other_adj'],[]
47,576,9550961,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the tall pelican,the tall pelican,"[('the', 'DT'), ('tall', 'JJ'), ('pelican', 'NN')]","(ROOT
  (NP (DT the) (JJ tall) (NN pelican)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'tall', 'pelican']",pelican,pelican,spec,syntax,['tall'],['--'],['size'],['visual']
48,5945,4878369,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the large bird,the large bird,"[('the', 'DT'), ('large', 'JJ'), ('bird', 'NN')]","(ROOT
  (NP (DT the) (JJ large) (NN bird)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'large', 'bird']",bird,bird,ref,syntax,['large'],['--'],['size'],['visual']
49,834,5993368,bird_pelican_ambi_spec_1344479.png,2,bird,pelican,spec,the large bird,the large bird,"[('the', 'DT'), ('large', 'JJ'), ('bird', 'NN')]","(ROOT
  (NP (DT the) (JJ large) (NN bird)))","[(ROOT, 0, 3), (det, 3, 1), (amod, 3, 2)]","['DT', 'JJ', 'NN']","['the', 'large', 'bird']",bird,bird,ref,syntax,['large'],['--'],['size'],['visual']
